distribution,replication,n,component_count,topology_uncertain
"Beta(1,5)",17,10,1,0
"Beta(1,5)",17,20,1,0
"Beta(1,5)",17,40,1,0
"Beta(1,5)",17,75,1,0
"Beta(1,5)",17,125,1,0
"Beta(1,5)",17,200,1,0
"Beta(1,5)",17,350,1,0
"Beta(1,5)",17,500,1,0
"Beta(1,5)",17,1000,1,0
"Beta(1,5)",17,2000,1,0
"Beta(1,5)",17,5000,1,0
"Beta(1,5)",17,10000,1,0
"Beta(1,5)",18,10,1,0
"Beta(1,5)",18,20,1,0
"Beta(1,5)",18,40,1,0
"Beta(1,5)",18,75,1,0
"Beta(1,5)",18,125,1,0
"Beta(1,5)",18,200,1,0
"Beta(1,5)",18,350,1,0
"Beta(1,5)",18,500,1,0
"Beta(1,5)",18,1000,1,0
"Beta(1,5)",18,2000,1,0
"Beta(1,5)",18,5000,1,0
"Beta(1,5)",18,10000,1,0
"Beta(1,5)",19,10,1,0
"Beta(1,5)",19,20,1,0
"Beta(1,5)",19,40,1,0
"Beta(1,5)",19,75,1,0
"Beta(1,5)",19,125,1,0
"Beta(1,5)",19,200,1,0
"Beta(1,5)",19,350,1,0
"Beta(1,5)",19,500,1,0
"Beta(1,5)",19,1000,1,0
"Beta(1,5)",19,2000,1,0
"Beta(1,5)",19,5000,1,0
"Beta(1,5)",19,10000,1,0
"Beta(1,5)",20,10,1,0
"Beta(1,5)",20,20,1,0
"Beta(1,5)",20,40,1,0
"Beta(1,5)",20,75,1,0
"Beta(1,5)",20,125,1,0
"Beta(1,5)",20,200,1,0
"Beta(1,5)",20,350,1,0
"Beta(1,5)",20,500,1,0
"Beta(1,5)",20,1000,1,0
"Beta(1,5)",20,2000,1,0
"Beta(1,5)",20,5000,1,0
"Beta(1,5)",20,10000,1,0
"Beta(1,5)",21,10,1,0
"Beta(1,5)",21,20,1,0
"Beta(1,5)",21,40,1,0
"Beta(1,5)",21,75,1,0
"Beta(1,5)",21,125,1,0
"Beta(1,5)",21,200,1,0
"Beta(1,5)",21,350,1,0
"Beta(1,5)",21,500,1,0
"Beta(1,5)",21,1000,1,0
"Beta(1,5)",21,2000,1,0
"Beta(1,5)",21,5000,1,0
"Beta(1,5)",21,10000,1,0
"Beta(1,5)",22,10,1,0
"Beta(1,5)",22,20,1,0
"Beta(1,5)",22,40,1,0
"Beta(1,5)",22,75,1,0
"Beta(1,5)",22,125,1,0
"Beta(1,5)",22,200,1,0
"Beta(1,5)",22,350,1,0
"Beta(1,5)",22,500,1,0
"Beta(1,5)",22,1000,1,0
"Beta(1,5)",22,2000,1,0
"Beta(1,5)",22,5000,1,0
"Beta(1,5)",22,10000,1,0
"Beta(1,5)",23,10,1,0
"Beta(1,5)",23,20,1,0
"Beta(1,5)",23,40,1,0
"Beta(1,5)",23,75,1,0
"Beta(1,5)",23,125,1,0
"Beta(1,5)",23,200,1,0
"Beta(1,5)",23,350,1,0
"Beta(1,5)",23,500,1,0
"Beta(1,5)",23,1000,1,0
"Beta(1,5)",23,2000,1,0
"Beta(1,5)",23,5000,1,0
"Beta(1,5)",23,10000,1,0
"Beta(1,5)",24,10,1,0
"Beta(1,5)",24,20,1,0
"Beta(1,5)",24,40,1,0
"Beta(1,5)",24,75,1,0
"Beta(1,5)",24,125,1,0
"Beta(1,5)",24,200,1,0
"Beta(1,5)",24,350,1,0
"Beta(1,5)",24,500,1,0
"Beta(1,5)",24,1000,1,0
"Beta(1,5)",24,2000,1,0
"Beta(1,5)",24,5000,1,0
"Beta(1,5)",24,10000,1,0
"Beta(1,5)",25,10,1,0
"Beta(1,5)",25,20,1,0
"Beta(1,5)",25,40,1,0
"Beta(1,5)",25,75,1,0
"Beta(1,5)",25,125,1,0
"Beta(1,5)",25,200,1,0
"Beta(1,5)",25,350,1,0
"Beta(1,5)",25,500,1,0
"Beta(1,5)",25,1000,1,0
"Beta(1,5)",25,2000,1,0
"Beta(1,5)",25,5000,1,0
"Beta(1,5)",25,10000,1,0
"Beta(1,5)",26,10,1,0
"Beta(1,5)",26,20,1,0
"Beta(1,5)",26,40,1,0
"Beta(1,5)",26,75,1,0
"Beta(1,5)",26,125,1,0
"Beta(1,5)",26,200,1,0
"Beta(1,5)",26,350,1,0
"Beta(1,5)",26,500,1,0
"Beta(1,5)",26,1000,1,0
"Beta(1,5)",26,2000,1,0
"Beta(1,5)",26,5000,1,0
"Beta(1,5)",26,10000,1,0
"Beta(1,5)",27,10,1,0
"Beta(1,5)",27,20,1,0
"Beta(1,5)",27,40,1,0
"Beta(1,5)",27,75,1,0
"Beta(1,5)",27,125,1,0
"Beta(1,5)",27,200,1,0
"Beta(1,5)",27,350,1,0
"Beta(1,5)",27,500,1,0
"Beta(1,5)",27,1000,1,0
"Beta(1,5)",27,2000,1,0
"Beta(1,5)",27,5000,1,0
"Beta(1,5)",27,10000,1,0
"Beta(1,5)",28,10,1,0
"Beta(1,5)",28,20,1,0
"Beta(1,5)",28,40,1,0
"Beta(1,5)",28,75,1,0
"Beta(1,5)",28,125,1,0
"Beta(1,5)",28,200,1,0
"Beta(1,5)",28,350,1,0
"Beta(1,5)",28,500,1,0
"Beta(1,5)",28,1000,1,0
"Beta(1,5)",28,2000,1,0
"Beta(1,5)",28,5000,1,0
"Beta(1,5)",28,10000,1,0
"Beta(1,5)",29,10,1,0
"Beta(1,5)",29,20,1,0
"Beta(1,5)",29,40,1,0
"Beta(1,5)",29,75,1,0
"Beta(1,5)",29,125,1,0
"Beta(1,5)",29,200,1,0
"Beta(1,5)",29,350,1,0
"Beta(1,5)",29,500,1,0
"Beta(1,5)",29,1000,1,0
"Beta(1,5)",29,2000,1,0
"Beta(1,5)",29,5000,1,0
"Beta(1,5)",29,10000,1,0
"Beta(1,5)",30,10,1,0
"Beta(1,5)",30,20,1,0
"Beta(1,5)",30,40,1,0
"Beta(1,5)",30,75,1,0
"Beta(1,5)",30,125,1,0
"Beta(1,5)",30,200,1,0
"Beta(1,5)",30,350,1,0
"Beta(1,5)",30,500,1,0
"Beta(1,5)",30,1000,1,0
"Beta(1,5)",30,2000,1,0
"Beta(1,5)",30,5000,1,0
"Beta(1,5)",30,10000,1,0
"Beta(1,5)",31,10,1,0
"Beta(1,5)",31,20,1,0
"Beta(1,5)",31,40,1,0
"Beta(1,5)",31,75,1,0
"Beta(1,5)",31,125,1,0
"Beta(1,5)",31,200,1,0
"Beta(1,5)",31,350,1,0
"Beta(1,5)",31,500,1,0
"Beta(1,5)",31,1000,1,0
"Beta(1,5)",31,2000,1,0
"Beta(1,5)",31,5000,1,0
"Beta(1,5)",31,10000,1,0
"Beta(1,5)",32,10,1,0
"Beta(1,5)",32,20,1,0
"Beta(1,5)",32,40,1,0
"Beta(1,5)",32,75,1,0
"Beta(1,5)",32,125,1,0
"Beta(1,5)",32,200,1,0
"Beta(1,5)",32,350,1,0
"Beta(1,5)",32,500,1,0
"Beta(1,5)",32,1000,1,0
"Beta(1,5)",32,2000,1,0
"Beta(1,5)",32,5000,1,0
"Beta(1,5)",32,10000,1,0
"Beta(1,5)",33,10,1,0
"Beta(1,5)",33,20,1,0
"Beta(1,5)",33,40,1,0
"Beta(1,5)",33,75,1,0
"Beta(1,5)",33,125,1,0
"Beta(1,5)",33,200,1,0
"Beta(1,5)",33,350,1,0
"Beta(1,5)",33,500,1,0
"Beta(1,5)",33,1000,1,0
"Beta(1,5)",33,2000,1,0
"Beta(1,5)",33,5000,1,0
"Beta(1,5)",33,10000,1,0
"Beta(1,5)",34,10,1,0
"Beta(1,5)",34,20,1,0
"Beta(1,5)",34,40,1,0
"Beta(1,5)",34,75,1,0
"Beta(1,5)",34,125,1,0
"Beta(1,5)",34,200,1,0
"Beta(1,5)",34,350,1,0
"Beta(1,5)",34,500,1,0
"Beta(1,5)",34,1000,1,0
"Beta(1,5)",34,2000,1,0
"Beta(1,5)",34,5000,1,0
"Beta(1,5)",34,10000,1,0
"Beta(1,5)",35,10,1,0
"Beta(1,5)",35,20,1,0
"Beta(1,5)",35,40,1,0
"Beta(1,5)",35,75,1,0
"Beta(1,5)",35,125,1,0
"Beta(1,5)",35,200,1,0
"Beta(1,5)",35,350,1,0
"Beta(1,5)",35,500,1,0
"Beta(1,5)",35,1000,1,0
"Beta(1,5)",35,2000,1,0
"Beta(1,5)",35,5000,1,0
"Beta(1,5)",35,10000,1,0
"Beta(1,5)",36,10,1,0
"Beta(1,5)",36,20,1,0
"Beta(1,5)",36,40,1,0
"Beta(1,5)",36,75,1,0
"Beta(1,5)",36,125,1,0
"Beta(1,5)",36,200,1,0
"Beta(1,5)",36,350,1,0
"Beta(1,5)",36,500,1,0
"Beta(1,5)",36,1000,1,0
"Beta(1,5)",36,2000,1,0
"Beta(1,5)",36,5000,1,0
"Beta(1,5)",36,10000,1,0
"Beta(1,5)",37,10,1,0
"Beta(1,5)",37,20,1,0
"Beta(1,5)",37,40,1,0
"Beta(1,5)",37,75,1,0
"Beta(1,5)",37,125,1,0
"Beta(1,5)",37,200,1,0
"Beta(1,5)",37,350,1,0
"Beta(1,5)",37,500,1,0
"Beta(1,5)",37,1000,1,0
"Beta(1,5)",37,2000,1,0
"Beta(1,5)",37,5000,1,0
"Beta(1,5)",37,10000,1,0
"Beta(1,5)",38,10,1,0
"Beta(1,5)",38,20,1,0
"Beta(1,5)",38,40,1,0
"Beta(1,5)",38,75,1,0
"Beta(1,5)",38,125,1,0
"Beta(1,5)",38,200,1,0
"Beta(1,5)",38,350,1,0
"Beta(1,5)",38,500,1,0
"Beta(1,5)",38,1000,1,0
"Beta(1,5)",38,2000,1,0
"Beta(1,5)",38,5000,1,0
"Beta(1,5)",38,10000,1,0
"Beta(1,5)",39,10,1,0
"Beta(1,5)",39,20,1,0
"Beta(1,5)",39,40,1,0
"Beta(1,5)",39,75,1,0
"Beta(1,5)",39,125,1,0
"Beta(1,5)",39,200,1,0
"Beta(1,5)",39,350,1,0
"Beta(1,5)",39,500,1,0
"Beta(1,5)",39,1000,1,0
"Beta(1,5)",39,2000,1,0
"Beta(1,5)",39,5000,1,0
"Beta(1,5)",39,10000,1,0
Bernoulli(0.5),0,10,1,0
Bernoulli(0.5),0,20,1,0
Bernoulli(0.5),0,40,1,0
Bernoulli(0.5),0,75,1,0
Bernoulli(0.5),0,125,1,0
Bernoulli(0.5),0,200,1,0
Bernoulli(0.5),0,350,1,0
Bernoulli(0.5),0,500,1,0
Bernoulli(0.5),0,1000,1,0
Bernoulli(0.5),0,2000,1,0
Bernoulli(0.5),0,5000,1,0
Bernoulli(0.5),0,10000,1,0
Bernoulli(0.5),1,10,1,0
Bernoulli(0.5),1,20,1,0
Bernoulli(0.5),1,40,1,0
Bernoulli(0.5),1,75,1,0
Bernoulli(0.5),1,125,1,0
Bernoulli(0.5),1,200,1,0
Bernoulli(0.5),1,350,1,0
Bernoulli(0.5),1,500,1,0
Bernoulli(0.5),1,1000,1,0
Bernoulli(0.5),1,2000,1,0
Bernoulli(0.5),1,5000,1,0
Bernoulli(0.5),1,10000,1,0
Bernoulli(0.5),2,10,1,0
Bernoulli(0.5),2,20,1,0
Bernoulli(0.5),2,40,1,0
Bernoulli(0.5),2,75,1,0
Bernoulli(0.5),2,125,1,0
Bernoulli(0.5),2,200,1,0
Bernoulli(0.5),2,350,1,0
Bernoulli(0.5),2,500,1,0
Bernoulli(0.5),2,1000,1,0
Bernoulli(0.5),2,2000,1,0
Bernoulli(0.5),2,5000,1,0
Bernoulli(0.5),2,10000,1,0
Bernoulli(0.5),3,10,1,0
Bernoulli(0.5),3,20,1,0
Bernoulli(0.5),3,40,1,0
Bernoulli(0.5),3,75,1,0
Bernoulli(0.5),3,125,1,0
Bernoulli(0.5),3,200,1,0
Bernoulli(0.5),3,350,1,0
Bernoulli(0.5),3,500,1,0
Bernoulli(0.5),3,1000,1,0
Bernoulli(0.5),3,2000,1,0
Bernoulli(0.5),3,5000,1,0
Bernoulli(0.5),3,10000,1,0
Bernoulli(0.5),4,10,1,0
Bernoulli(0.5),4,20,1,0
Bernoulli(0.5),4,40,1,0
Bernoulli(0.5),4,75,1,0
Bernoulli(0.5),4,125,1,0
Bernoulli(0.5),4,200,1,0
Bernoulli(0.5),4,350,1,0
Bernoulli(0.5),4,500,1,0
Bernoulli(0.5),4,1000,1,0
Bernoulli(0.5),4,2000,1,0
Bernoulli(0.5),4,5000,1,0
Bernoulli(0.5),4,10000,1,0
Bernoulli(0.5),5,10,1,0
Bernoulli(0.5),5,20,1,0
Bernoulli(0.5),5,40,1,0
Bernoulli(0.5),5,75,1,0
Bernoulli(0.5),5,125,1,0
Bernoulli(0.5),5,200,1,0
Bernoulli(0.5),5,350,1,0
Bernoulli(0.5),5,500,1,0
Bernoulli(0.5),5,1000,1,0
Bernoulli(0.5),5,2000,1,0
Bernoulli(0.5),5,5000,1,0
Bernoulli(0.5),5,10000,1,0
Bernoulli(0.5),6,10,1,0
Bernoulli(0.5),6,20,1,0
Bernoulli(0.5),6,40,1,0
Bernoulli(0.5),6,75,1,0
Bernoulli(0.5),6,125,1,0
Bernoulli(0.5),6,200,1,0
Bernoulli(0.5),6,350,1,0
Bernoulli(0.5),6,500,1,0
Bernoulli(0.5),6,1000,1,0
Bernoulli(0.5),6,2000,1,0
Bernoulli(0.5),6,5000,1,0
Bernoulli(0.5),6,10000,1,0
Bernoulli(0.5),7,10,1,0
Bernoulli(0.5),7,20,1,0
Bernoulli(0.5),7,40,1,0
Bernoulli(0.5),7,75,1,0
Bernoulli(0.5),7,125,1,0
Bernoulli(0.5),7,200,1,0
Bernoulli(0.5),7,350,1,0
Bernoulli(0.5),7,500,1,0
Bernoulli(0.5),7,1000,1,0
Bernoulli(0.5),7,2000,1,0
Bernoulli(0.5),7,5000,1,0
Bernoulli(0.5),7,10000,1,0
Bernoulli(0.5),8,10,1,0
Bernoulli(0.5),8,20,1,0
Bernoulli(0.5),8,40,1,0
Bernoulli(0.5),8,75,1,0
Bernoulli(0.5),8,125,1,0
Bernoulli(0.5),8,200,1,0
Bernoulli(0.5),8,350,1,0
Bernoulli(0.5),8,500,1,0
Bernoulli(0.5),8,1000,1,0
Bernoulli(0.5),8,2000,1,0
Bernoulli(0.5),8,5000,1,0
Bernoulli(0.5),8,10000,1,0
Bernoulli(0.5),9,10,1,0
Bernoulli(0.5),9,20,1,0
Bernoulli(0.5),9,40,1,0
Bernoulli(0.5),9,75,1,0
Bernoulli(0.5),9,125,1,0
Bernoulli(0.5),9,200,1,0
Bernoulli(0.5),9,350,1,0
Bernoulli(0.5),9,500,1,0
Bernoulli(0.5),9,1000,1,0
Bernoulli(0.5),9,2000,1,0
Bernoulli(0.5),9,5000,1,0
Bernoulli(0.5),9,10000,1,0
Bernoulli(0.5),10,10,1,0
Bernoulli(0.5),10,20,1,0
Bernoulli(0.5),10,40,1,0
Bernoulli(0.5),10,75,1,0
Bernoulli(0.5),10,125,1,0
Bernoulli(0.5),10,200,1,0
Bernoulli(0.5),10,350,1,0
Bernoulli(0.5),10,500,1,0
Bernoulli(0.5),10,1000,1,0
Bernoulli(0.5),10,2000,1,0
Bernoulli(0.5),10,5000,1,0
Bernoulli(0.5),10,10000,1,0
Bernoulli(0.5),11,10,1,0
Bernoulli(0.5),11,20,1,0
Bernoulli(0.5),11,40,1,0
Bernoulli(0.5),11,75,1,0
Bernoulli(0.5),11,125,1,0
Bernoulli(0.5),11,200,1,0
Bernoulli(0.5),11,350,1,0
Bernoulli(0.5),11,500,1,0
Bernoulli(0.5),11,1000,1,0
Bernoulli(0.5),11,2000,1,0
Bernoulli(0.5),11,5000,1,0
Bernoulli(0.5),11,10000,1,0
Bernoulli(0.5),12,10,1,0
Bernoulli(0.5),12,20,1,0
Bernoulli(0.5),12,40,1,0
Bernoulli(0.5),12,75,1,0
Bernoulli(0.5),12,125,1,0
Bernoulli(0.5),12,200,1,0
Bernoulli(0.5),12,350,1,0
Bernoulli(0.5),12,500,1,0
Bernoulli(0.5),12,1000,1,0
Bernoulli(0.5),12,2000,1,0
Bernoulli(0.5),12,5000,1,0
Bernoulli(0.5),12,10000,1,0
Bernoulli(0.5),13,10,1,0
Bernoulli(0.5),13,20,1,0
Bernoulli(0.5),13,40,1,0
Bernoulli(0.5),13,75,1,0
Bernoulli(0.5),13,125,1,0
Bernoulli(0.5),13,200,1,0
Bernoulli(0.5),13,350,1,0
Bernoulli(0.5),13,500,1,0
Bernoulli(0.5),13,1000,1,0
Bernoulli(0.5),13,2000,1,0
Bernoulli(0.5),13,5000,1,0
Bernoulli(0.5),13,10000,1,0
Bernoulli(0.5),14,10,1,0
Bernoulli(0.5),14,20,1,0
Bernoulli(0.5),14,40,1,0
Bernoulli(0.5),14,75,1,0
Bernoulli(0.5),14,125,1,0
Bernoulli(0.5),14,200,1,0
Bernoulli(0.5),14,350,1,0
Bernoulli(0.5),14,500,1,0
Bernoulli(0.5),14,1000,1,0
Bernoulli(0.5),14,2000,1,0
Bernoulli(0.5),14,5000,1,0
Bernoulli(0.5),14,10000,1,0
Bernoulli(0.5),15,10,1,0
Bernoulli(0.5),15,20,1,0
Bernoulli(0.5),15,40,1,0
Bernoulli(0.5),15,75,1,0
Bernoulli(0.5),15,125,1,0
Bernoulli(0.5),15,200,1,0
Bernoulli(0.5),15,350,1,0
Bernoulli(0.5),15,500,1,0
Bernoulli(0.5),15,1000,1,0
Bernoulli(0.5),15,2000,1,0
Bernoulli(0.5),15,5000,1,0
Bernoulli(0.5),15,10000,1,0
Bernoulli(0.5),16,10,1,0
Bernoulli(0.5),16,20,1,0
Bernoulli(0.5),16,40,1,0
Bernoulli(0.5),16,75,1,0
Bernoulli(0.5),16,125,1,0
Bernoulli(0.5),16,200,1,0
Bernoulli(0.5),16,350,1,0
Bernoulli(0.5),16,500,1,0
Bernoulli(0.5),16,1000,1,0
Bernoulli(0.5),16,2000,1,0
Bernoulli(0.5),16,5000,1,0
Bernoulli(0.5),16,10000,1,0
Bernoulli(0.5),17,10,1,0
Bernoulli(0.5),17,20,1,0
Bernoulli(0.5),17,40,1,0
Bernoulli(0.5),17,75,1,0
Bernoulli(0.5),17,125,1,0
Bernoulli(0.5),17,200,1,0
Bernoulli(0.5),17,350,1,0
Bernoulli(0.5),17,500,1,0
Bernoulli(0.5),17,1000,1,0
Bernoulli(0.5),17,2000,1,0
Bernoulli(0.5),17,5000,1,0
Bernoulli(0.5),17,10000,1,0
Bernoulli(0.5),18,10,1,0
Bernoulli(0.5),18,20,1,0
Bernoulli(0.5),18,40,1,0
Bernoulli(0.5),18,75,1,0
Bernoulli(0.5),18,125,1,0
Bernoulli(0.5),18,200,1,0
Bernoulli(0.5),18,350,1,0
Bernoulli(0.5),18,500,1,0
Bernoulli(0.5),18,1000,1,0
Bernoulli(0.5),18,2000,1,0
Bernoulli(0.5),18,5000,1,0
Bernoulli(0.5),18,10000,1,0
Bernoulli(0.5),19,10,1,0
Bernoulli(0.5),19,20,1,0
Bernoulli(0.5),19,40,1,0
Bernoulli(0.5),19,75,1,0
Bernoulli(0.5),19,125,1,0
Bernoulli(0.5),19,200,1,0
Bernoulli(0.5),19,350,1,0
Bernoulli(0.5),19,500,1,0
Bernoulli(0.5),19,1000,1,0
Bernoulli(0.5),19,2000,1,0
Bernoulli(0.5),19,5000,1,0
Bernoulli(0.5),19,10000,1,0
Bernoulli(0.5),20,10,1,0
Bernoulli(0.5),20,20,1,0
Bernoulli(0.5),20,40,1,0
Bernoulli(0.5),20,75,1,0
Bernoulli(0.5),20,125,1,0
Bernoulli(0.5),20,200,1,0
Bernoulli(0.5),20,350,1,0
Bernoulli(0.5),20,500,1,0
Bernoulli(0.5),20,1000,1,0
Bernoulli(0.5),20,2000,1,0
Bernoulli(0.5),20,5000,1,0
Bernoulli(0.5),20,10000,1,0
Bernoulli(0.5),21,10,1,0
Bernoulli(0.5),21,20,1,0
Bernoulli(0.5),21,40,1,0
Bernoulli(0.5),21,75,1,0
Bernoulli(0.5),21,125,1,0
Bernoulli(0.5),21,200,1,0
Bernoulli(0.5),21,350,1,0
Bernoulli(0.5),21,500,1,0
Bernoulli(0.5),21,1000,1,0
Bernoulli(0.5),21,2000,1,0
Bernoulli(0.5),21,5000,1,0
Bernoulli(0.5),21,10000,1,0
Bernoulli(0.5),22,10,1,0
Bernoulli(0.5),22,20,1,0
Bernoulli(0.5),22,40,1,0
Bernoulli(0.5),22,75,1,0
Bernoulli(0.5),22,125,1,0
Bernoulli(0.5),22,200,1,0
Bernoulli(0.5),22,350,1,0
Bernoulli(0.5),22,500,1,0
Bernoulli(0.5),22,1000,1,0
Bernoulli(0.5),22,2000,1,0
Bernoulli(0.5),22,5000,1,0
Bernoulli(0.5),22,10000,1,0
Bernoulli(0.5),23,10,1,0
Bernoulli(0.5),23,20,1,0
Bernoulli(0.5),23,40,1,0
Bernoulli(0.5),23,75,1,0
Bernoulli(0.5),23,125,1,0
Bernoulli(0.5),23,200,1,0
Bernoulli(0.5),23,350,1,0
Bernoulli(0.5),23,500,1,0
Bernoulli(0.5),23,1000,1,0
Bernoulli(0.5),23,2000,1,0
Bernoulli(0.5),23,5000,1,0
Bernoulli(0.5),23,10000,1,0
Bernoulli(0.5),24,10,1,0
Bernoulli(0.5),24,20,1,0
Bernoulli(0.5),24,40,1,0
Bernoulli(0.5),24,75,1,0
Bernoulli(0.5),24,125,1,0
Bernoulli(0.5),24,200,1,0
Bernoulli(0.5),24,350,1,0
Bernoulli(0.5),24,500,1,0
Bernoulli(0.5),24,1000,1,0
Bernoulli(0.5),24,2000,1,0
Bernoulli(0.5),24,5000,1,0
Bernoulli(0.5),24,10000,1,0
Bernoulli(0.5),25,10,1,0
Bernoulli(0.5),25,20,1,0
Bernoulli(0.5),25,40,1,0
Bernoulli(0.5),25,75,1,0
Bernoulli(0.5),25,125,1,0
Bernoulli(0.5),25,200,1,0
Bernoulli(0.5),25,350,1,0
Bernoulli(0.5),25,500,1,0
Bernoulli(0.5),25,1000,1,0
Bernoulli(0.5),25,2000,1,0
Bernoulli(0.5),25,5000,1,0
Bernoulli(0.5),25,10000,1,0
Bernoulli(0.5),26,10,1,0
Bernoulli(0.5),26,20,1,0
Bernoulli(0.5),26,40,1,0
Bernoulli(0.5),26,75,1,0
Bernoulli(0.5),26,125,1,0
Bernoulli(0.5),26,200,1,0
Bernoulli(0.5),26,350,1,0
Bernoulli(0.5),26,500,1,0
Bernoulli(0.5),26,1000,1,0
Bernoulli(0.5),26,2000,1,0
Bernoulli(0.5),26,5000,1,0
Bernoulli(0.5),26,10000,1,0
Bernoulli(0.5),27,10,1,0
Bernoulli(0.5),27,20,1,0
Bernoulli(0.5),27,40,1,0
Bernoulli(0.5),27,75,1,0
Bernoulli(0.5),27,125,1,0
Bernoulli(0.5),27,200,1,0
Bernoulli(0.5),27,350,1,0
Bernoulli(0.5),27,500,1,0
Bernoulli(0.5),27,1000,1,0
Bernoulli(0.5),27,2000,1,0
Bernoulli(0.5),27,5000,1,0
Bernoulli(0.5),27,10000,1,0
Bernoulli(0.5),28,10,1,0
Bernoulli(0.5),28,20,1,0
Bernoulli(0.5),28,40,1,0
Bernoulli(0.5),28,75,1,0
Bernoulli(0.5),28,125,1,0
Bernoulli(0.5),28,200,1,0
Bernoulli(0.5),28,350,1,0
Bernoulli(0.5),28,500,1,0
Bernoulli(0.5),28,1000,1,0
Bernoulli(0.5),28,2000,1,0
Bernoulli(0.5),28,5000,1,0
Bernoulli(0.5),28,10000,1,0
Bernoulli(0.5),29,10,1,0
Bernoulli(0.5),29,20,1,0
Bernoulli(0.5),29,40,1,0
Bernoulli(0.5),29,75,1,0
Bernoulli(0.5),29,125,1,0
Bernoulli(0.5),29,200,1,0
Bernoulli(0.5),29,350,1,0
Bernoulli(0.5),29,500,1,0
Bernoulli(0.5),29,1000,1,0
Bernoulli(0.5),29,2000,1,0
Bernoulli(0.5),29,5000,1,0
Bernoulli(0.5),29,10000,1,0
Bernoulli(0.5),30,10,1,0
Bernoulli(0.5),30,20,1,0
Bernoulli(0.5),30,40,1,0
Bernoulli(0.5),30,75,1,0
Bernoulli(0.5),30,125,1,0
Bernoulli(0.5),30,200,1,0
Bernoulli(0.5),30,350,1,0
Bernoulli(0.5),30,500,1,0
Bernoulli(0.5),30,1000,1,0
Bernoulli(0.5),30,2000,1,0
Bernoulli(0.5),30,5000,1,0
Bernoulli(0.5),30,10000,1,0
Bernoulli(0.5),31,10,1,0
Bernoulli(0.5),31,20,1,0
Bernoulli(0.5),31,40,1,0
Bernoulli(0.5),31,75,1,0
Bernoulli(0.5),31,125,1,0
Bernoulli(0.5),31,200,1,0
Bernoulli(0.5),31,350,1,0
Bernoulli(0.5),31,500,1,0
Bernoulli(0.5),31,1000,1,0
Bernoulli(0.5),31,2000,1,0
Bernoulli(0.5),31,5000,1,0
Bernoulli(0.5),31,10000,1,0
Bernoulli(0.5),32,10,1,0
Bernoulli(0.5),32,20,1,0
Bernoulli(0.5),32,40,1,0
Bernoulli(0.5),32,75,1,0
Bernoulli(0.5),32,125,1,0
Bernoulli(0.5),32,200,1,0
Bernoulli(0.5),32,350,1,0
Bernoulli(0.5),32,500,1,0
Bernoulli(0.5),32,1000,1,0
Bernoulli(0.5),32,2000,1,0
Bernoulli(0.5),32,5000,1,0
Bernoulli(0.5),32,10000,1,0
Bernoulli(0.5),33,10,1,0
Bernoulli(0.5),33,20,1,0
Bernoulli(0.5),33,40,1,0
Bernoulli(0.5),33,75,1,0
Bernoulli(0.5),33,125,1,0
Bernoulli(0.5),33,200,1,0
Bernoulli(0.5),33,350,1,0
Bernoulli(0.5),33,500,1,0
Bernoulli(0.5),33,1000,1,0
Bernoulli(0.5),33,2000,1,0
Bernoulli(0.5),33,5000,1,0
Bernoulli(0.5),33,10000,1,0
Bernoulli(0.5),34,10,1,0
Bernoulli(0.5),34,20,1,0
Bernoulli(0.5),34,40,1,0
Bernoulli(0.5),34,75,1,0
Bernoulli(0.5),34,125,1,0
Bernoulli(0.5),34,200,1,0
Bernoulli(0.5),34,350,1,0
Bernoulli(0.5),34,500,1,0
Bernoulli(0.5),34,1000,1,0
Bernoulli(0.5),34,2000,1,0
Bernoulli(0.5),34,5000,1,0
Bernoulli(0.5),34,10000,1,0
Bernoulli(0.5),35,10,1,0
Bernoulli(0.5),35,20,1,0
Bernoulli(0.5),35,40,1,0
Bernoulli(0.5),35,75,1,0
Bernoulli(0.5),35,125,1,0
Bernoulli(0.5),35,200,1,0
Bernoulli(0.5),35,350,1,0
Bernoulli(0.5),35,500,1,0
Bernoulli(0.5),35,1000,1,0
Bernoulli(0.5),35,2000,1,0
Bernoulli(0.5),35,5000,1,0
Bernoulli(0.5),35,10000,1,0
Bernoulli(0.5),36,10,1,0
Bernoulli(0.5),36,20,1,0
Bernoulli(0.5),36,40,1,0
Bernoulli(0.5),36,75,1,0
Bernoulli(0.5),36,125,1,0
Bernoulli(0.5),36,200,1,0
Bernoulli(0.5),36,350,1,0
Bernoulli(0.5),36,500,1,0
Bernoulli(0.5),36,1000,1,0
Bernoulli(0.5),36,2000,1,0
Bernoulli(0.5),36,5000,1,0
Bernoulli(0.5),36,10000,1,0
Bernoulli(0.5),37,10,1,0
Bernoulli(0.5),37,20,1,0
Bernoulli(0.5),37,40,1,0
Bernoulli(0.5),37,75,1,0
Bernoulli(0.5),37,125,1,0
Bernoulli(0.5),37,200,1,0
Bernoulli(0.5),37,350,1,0
Bernoulli(0.5),37,500,1,0
Bernoulli(0.5),37,1000,1,0
Bernoulli(0.5),37,2000,1,0
Bernoulli(0.5),37,5000,1,0
Bernoulli(0.5),37,10000,1,0
Bernoulli(0.5),38,10,1,0
Bernoulli(0.5),38,20,1,0
Bernoulli(0.5),38,40,1,0
Bernoulli(0.5),38,75,1,0
Bernoulli(0.5),38,125,1,0
